pl_hostname,pl_letter,hd_name,hip_name,ra,dec
Kepler-799,b,,,287.174894,44.878571
Kepler-800,b,,,286.574823,44.795204
Kepler-801,b,,,286.075243,44.664639
Kepler-802,b,,,286.015855,45.007767
Kepler-803,b,,,299.221605,44.693874
Kepler-804,b,,,293.372270,44.785137
Kepler-804,c,,,293.372270,44.785137
Kepler-805,b,,,293.229945,45.053314
Kepler-806,b,,,296.007043,44.853443
Kepler-807,b,,,289.020172,48.119812
Kepler-808,b,,,291.594090,48.445614
Kepler-809,b,,,289.083643,48.018131
Kepler-810,b,,,296.614859,48.082645
Kepler-811,b,,,285.424273,47.834614
Kepler-812,b,,,288.855290,48.208538
Kepler-813,b,,,285.662694,48.435371
Kepler-814,b,,,284.910486,48.431644
Kepler-815,b,,,285.221110,47.881382
Kepler-816,b,,,293.362842,39.212452
Kepler-817,b,,,296.081856,39.161617
HIP 65891,b,HD 117253,HIP 65891,202.605301,-58.664356
HIP 107773,b,HD 207229,HIP 107773,327.500519,-64.712540
KELT-7,b,HD 33643,HIP 24323,78.295532,33.318165
Kepler-453,b,,,283.241297,46.378471
WASP-74,b,,,304.538823,-1.075676
WASP-83,b,,,190.152085,-19.284243
WASP-89,b,,,313.899962,-18.971106
HD 178911 B,b,HD 178911 B,HIP 94075,287.262939,34.599850
HD 180902,b,HD 180902,HIP 94951,289.823792,-23.558155
HD 181433,c,HD 181433,HIP 95467,291.289856,-66.468796
HD 190647,b,HD 190647,HIP 99115,301.831970,-35.538631
Kepler-658,b,,,282.983790,47.578590
Kepler-659,b,,,287.608202,47.509686
Kepler-660,b,,,288.138262,47.724453
Kepler-661,b,,,283.710881,47.863270
Kepler-662,b,,,290.465134,47.929180
Kepler-663,b,,,297.808262,47.946671
Kepler-664,b,,,288.754887,48.226200
Kepler-665,b,,,297.025630,48.478596
Kepler-666,b,,,298.456840,48.791592
Kepler-667,b,,,295.555049,49.017342
Kepler-668,b,,,285.499250,49.277348
Kepler-669,b,,,291.936173,49.253986
Kepler-670,b,,,297.015468,49.225292
Kepler-671,b,,,294.265808,49.314091
Kepler-672,b,,,291.722008,49.480877
Kepler-673,b,,,290.785759,50.054119
Kepler-674,b,,,285.176211,50.149818
Kepler-675,b,,,293.833326,50.230354
Kepler-676,b,,,296.221970,50.287237
Kepler-677,b,,,290.098067,50.321609
Kepler-678,b,,,295.455293,50.494560
HD 219134,b,HD 219134,HIP 114622,348.320740,57.168354
HD 219134,c,HD 219134,HIP 114622,348.320740,57.168354
HD 219134,d,HD 219134,HIP 114622,348.320740,57.168354
Kepler-679,b,,,296.021342,50.567783
KOI-94,d,,,297.333057,41.891117
GJ 1132,b,,,153.715737,-47.156727
K2-27,b,,,171.515165,1.230738
Pr0211,c,,,130.547882,19.277044
K2-24,b,,,242.573719,-24.990331
K2-24,c,,,242.573719,-24.990331
Kepler-680,b,,,291.622410,50.618237
Kepler-681,b,,,289.399721,51.250324
Kepler-682,b,,,289.112222,51.737381
Kepler-683,b,,,291.439982,37.905656
Kepler-684,b,,,290.870517,38.273635
Kepler-685,b,,,293.871930,38.422949
Kepler-686,b,,,285.213807,39.027485
Kepler-687,b,,,289.315452,39.153285
Kepler-688,b,,,294.655242,39.308366
Kepler-689,b,,,294.710624,39.521744
Kepler-690,b,,,294.489906,39.771446
Kepler-691,b,,,288.812003,40.033398
Kepler-692,b,,,294.776840,40.153738
Kepler-693,b,,,283.253557,40.358196
Kepler-694,b,,,291.149507,40.420518
Kepler-695,b,,,299.316097,40.822362
Kepler-696,b,,,293.496610,41.137592
Kepler-697,b,,,283.864390,41.346458
Kepler-698,b,,,288.509997,41.301769
Kepler-699,b,,,296.888201,41.396091
Kepler-700,b,,,287.154300,41.565788
Kepler-701,b,,,288.994182,41.633278
Kepler-702,b,,,293.878112,41.661770
Kepler-703,b,,,299.186861,41.742682
Kepler-704,b,,,283.316391,41.837120
Kepler-705,b,,,289.508502,41.812107
Kepler-706,b,,,291.760406,41.944077
Kepler-707,b,,,290.007570,42.116459
Kepler-708,b,,,293.816466,42.212498
Kepler-709,b,,,292.105207,42.380318
Kepler-245,e,,,291.638965,42.436317
Kepler-710,b,,,291.964161,42.696144
Kepler-711,b,,,297.460015,42.839924
Kepler-712,b,,,294.909734,42.935261
Kepler-712,c,,,294.909734,42.935261
Kepler-713,b,,,295.651502,43.029831
Kepler-714,b,,,282.699531,43.272743
Kepler-715,b,,,283.630767,43.379398
Kepler-716,b,,,290.393214,43.363899
Kepler-717,b,,,292.965535,43.346390
Kepler-718,b,,,299.561877,43.503559
Kepler-719,b,,,295.536136,43.884453
Kepler-720,b,,,298.635649,44.170944
Kepler-721,b,,,284.430506,44.480534
Kepler-722,b,,,290.263285,44.556450
Kepler-722,c,,,290.263285,44.556450
Kepler-723,b,,,284.830468,44.658142
Kepler-724,b,,,293.454838,44.792797
Kepler-725,b,,,283.977492,44.811562
Kepler-726,b,,,291.717311,44.887306
Kepler-727,b,,,294.846908,45.034416
Kepler-728,b,,,291.092356,45.115528
Kepler-729,b,,,286.360112,45.414295
Kepler-730,b,,,285.554804,45.578857
Kepler-731,b,,,296.393174,45.568558
Kepler-732,b,,,283.732021,45.958771
Kepler-732,c,,,283.732021,45.958771
Kepler-733,b,,,293.018285,45.914692
Kepler-528,b,,,295.684814,47.748081
Kepler-529,b,,,285.888369,47.880386
Kepler-529,c,,,285.888369,47.880386
Kepler-530,b,,,283.340288,48.549046
Kepler-531,b,,,286.524812,48.683601
Kepler-532,b,,,298.660915,48.606373
Kepler-533,b,,,293.685736,48.825146
Kepler-534,b,,,296.418559,49.540104
Kepler-535,b,,,296.566641,49.696251
Kepler-536,b,,,297.736380,49.637154
Kepler-537,b,,,289.880634,51.277081
Kepler-538,b,,,297.486901,49.623455
Kepler-539,b,,,299.122454,41.866760
Kepler-540,b,,,290.625252,44.873962
Kepler-541,b,,,294.149669,38.458259
Kepler-542,b,,,292.215089,38.548588
Kepler-543,b,,,287.218727,38.862513
Kepler-544,b,,,294.029098,39.051846
Kepler-148,d,,,289.786216,46.858788
Kepler-545,b,,,290.566303,40.692045
Kepler-546,b,,,283.257599,40.990498
Kepler-547,b,,,286.118673,44.345280
Kepler-548,b,,,299.905910,45.439678
Kepler-549,b,,,283.022789,47.261135
Kepler-549,c,,,283.022789,47.261135
Kepler-550,b,,,297.700240,47.863750
Kepler-551,b,,,285.485043,48.054325
Kepler-552,b,,,290.747687,48.242012
Kepler-553,b,,,298.550829,48.332455
Kepler-553,c,,,298.550829,48.332455
Kepler-154,d,,,289.780522,49.896530
Kepler-154,e,,,289.780522,49.896530
Kepler-154,f,,,289.780522,49.896530
Kepler-554,b,,,296.406853,51.358154
KELT-8,b,HD 343246,,283.305510,24.127380
KELT-6,c,,,195.981868,30.640051
K2-22,b,,,169.482818,2.619070
WASP-47,c,,,331.203047,-12.018885
WASP-47,d,,,331.203047,-12.018885
WASP-47,e,,,331.203047,-12.018885
WASP-41,c,,,190.618736,-30.639870
HD 11755,b,HD 11755,HIP 9242,29.708696,73.152382
HD 12648,b,HD 12648,HIP 10800,34.748653,85.736153
HD 24064,b,HD 24064,HIP 18451,59.151241,74.080032
8 UMi,b,HD 133086,HIP 73136,224.201477,74.900925
K2-3,b,,,172.334949,-1.454787
Kepler-623,b,,,296.986721,47.477390
HD 155233,b,HD 155233,HIP 84056,257.768188,-20.654570
HAT-P-20,b,,,111.916469,24.336630
Kepler-202,c,,,282.973419,41.322006
HAT-P-49,b,HD 340099,,305.441397,26.692652
HD 118203,b,HD 118203,HIP 66192,203.510574,53.728531
HD 143361,b,HD 143361,HIP 78521,240.459778,-44.434536
HD 192699,b,HD 192699,HIP 99894,304.025024,4.580795
Kepler-26,c,,,284.940997,46.566540
Kepler-295,b,,,285.345843,45.367786
Kepler-328,c,,,295.809289,40.008503
Kepler-339,d,,,293.351712,48.444641
Kepler-383,c,,,291.342584,38.363134
Kepler-430,c,,,292.808636,49.579445
WASP-70 A,b,HD 358155,,315.476951,-13.433218
K2-13,b,,,170.155528,2.502696
Kepler-583,b,,,282.111330,42.354504
Kepler-584,b,,,288.230593,42.413624
Kepler-585,b,,,286.528499,43.873405
Kepler-176,e,,,294.667956,43.853259
Kepler-586,b,,,293.057220,45.551193
Kepler-587,b,,,288.670690,47.399143
Kepler-588,b,,,284.257210,47.688953
Kepler-589,b,,,280.641367,47.751954
Kepler-590,b,,,296.385544,48.233448
