pl_hostname,pl_letter,hd_name,hip_name,ra,dec
Kepler-343,c,,,291.960684,42.433006
Kepler-345,c,,,295.228802,45.971020
Kepler-347,c,,,289.199596,49.305717
Kepler-349,c,,,293.676480,44.615578
Kepler-351,c,,,286.452706,42.657879
Kepler-353,c,,,296.856633,41.758180
Kepler-355,b,,,285.799457,42.811783
Kepler-357,c,,,291.243104,44.008720
Kepler-359,b,,,293.293635,42.196354
Kepler-360,c,,,286.284731,44.781555
Kepler-362,c,,,291.771639,47.529903
Kepler-378,b,,,294.948588,46.438641
Kepler-378,c,,,294.948588,46.438641
Kepler-379,b,,,295.701103,38.945831
Kepler-379,c,,,295.701103,38.945831
Kepler-380,c,,,282.394616,48.759140
Kepler-381,b,,,285.182787,43.831089
Kepler-381,c,,,285.182787,43.831089
Kepler-382,c,,,299.136166,45.869934
Kepler-383,b,,,291.342584,38.363134
Kepler-384,c,,,286.026112,44.782871
Kepler-385,b,,,294.338483,50.336544
Kepler-385,c,,,294.338483,50.336544
Kepler-386,b,,,289.858871,48.693855
Kepler-387,b,,,287.798184,45.656715
Kepler-387,c,,,287.798184,45.656715
Kepler-388,b,,,284.828038,44.608730
Kepler-389,b,,,291.960005,44.900024
Kepler-389,c,,,291.960005,44.900024
Kepler-390,b,,,291.628777,41.208603
Kepler-391,b,,,290.621815,51.057304
Kepler-391,c,,,290.621815,51.057304
Kepler-392,b,,,288.660765,43.368084
Kepler-393,b,,,290.995257,45.192215
Kepler-393,c,,,290.995257,45.192215
Kepler-394,b,,,296.301953,50.672318
Kepler-394,c,,,296.301953,50.672318
Kepler-1543,b,,,297.124312,47.037025
Kepler-1544,b,,,297.284990,49.212456
Kepler-1545,b,,,298.898763,47.463093
Kepler-1546,b,,,297.583942,41.541227
Kepler-1547,b,,,283.764074,42.222172
Kepler-1548,b,,,287.471233,46.080666
Kepler-1549,b,,,286.052426,39.096053
Kepler-1550,b,,,287.764560,38.294704
Kepler-1551,b,,,295.785514,39.907921
Kepler-1552,b,,,291.676831,38.874915
Kepler-1553,b,,,291.919159,39.022273
Kepler-1554,b,,,286.576164,41.741473
Kepler-1555,b,,,287.635473,45.716061
Kepler-1556,b,,,288.397002,40.213200
Kepler-1557,b,,,293.881413,46.838879
Kepler-1558,b,,,286.819367,46.911694
Kepler-1559,b,,,292.286580,42.072456
Kepler-1560,b,,,292.784608,43.215984
Kepler-1561,b,,,296.923604,43.566467
Kepler-1562,b,,,294.455709,46.743614
Kepler-1563,b,,,288.573588,51.472755
Kepler-1564,b,,,290.586124,46.642689
Kepler-1565,b,,,297.952967,40.806808
Kepler-1566,b,,,283.587614,40.574927
Kepler-1567,b,,,286.695200,40.291819
Kepler-1568,b,,,289.182664,47.873383
Kepler-1569,b,,,292.204706,37.221220
Kepler-1570,b,,,299.861833,45.827354
Kepler-1571,b,,,300.935406,45.596546
Kepler-1572,b,,,281.897275,46.722633
Kepler-1573,b,,,292.988348,49.484970
Kepler-364,c,,,281.569933,47.398697
Kepler-366,c,,,296.852042,49.084446
Kepler-368,c,,,291.880046,45.387936
Kepler-37,e,,,284.059660,44.518131
Kepler-371,b,,,292.326464,38.657588
Kepler-377,c,,,295.422002,38.735691
Kepler-380,b,,,282.394616,48.759140
Kepler-382,b,,,299.136166,45.869934
Kepler-384,b,,,286.026112,44.782871
Kepler-386,c,,,289.858871,48.693855
Kepler-388,c,,,284.828038,44.608730
Kepler-390,c,,,291.628777,41.208603
Kepler-392,c,,,288.660765,43.368084
Kepler-395,b,,,293.511099,45.136598
Kepler-397,b,,,295.894109,42.380451
Kepler-399,b,,,299.501738,40.670806
Kepler-4,b,,,285.615322,50.135754
Kepler-40,b,,,296.813690,47.526608
Kepler-401,b,,,290.082749,50.863483
Kepler-402,d,,,288.370225,43.354610
Kepler-404,b,,,286.398631,45.343533
Kepler-406,b,,,291.848044,44.968224
Kepler-407,c,,,286.036347,49.614506
Kepler-410 A,b,,,283.150698,45.139832
Kepler-413,b,,,288.510620,51.162472
Kepler-415,b,,,293.804434,38.639131
Kepler-395,c,,,293.511099,45.136598
Kepler-396,b,,,296.132818,48.977402
Kepler-396,c,,,296.132818,48.977402
Kepler-397,c,,,295.894109,42.380451
Kepler-398,b,,,291.468662,40.343853
Kepler-398,c,,,291.468662,40.343853
Kepler-399,c,,,299.501738,40.670806
Kepler-399,d,,,299.501738,40.670806
Kepler-400,b,,,290.944481,40.480035
Kepler-400,c,,,290.944481,40.480035
Kepler-401,c,,,290.082749,50.863483
Kepler-402,b,,,288.370225,43.354610
Kepler-402,c,,,288.370225,43.354610
Kepler-402,e,,,288.370225,43.354610
Kepler-403,b,,,289.921461,46.744560
Kepler-403,c,,,289.921461,46.744560
Kepler-404,c,,,286.398631,45.343533
Kepler-405,b,,,291.409458,38.340030
Kepler-405,c,,,291.409458,38.340030
Kepler-406,c,,,291.848044,44.968224
Kepler-407,b,,,286.036347,49.614506
Kepler-408,b,,,284.786175,48.423233
Kepler-409,b,,,293.679190,46.852764
Kepler-411,b,,,287.605582,49.523262
Kepler-412,b,,,286.110327,43.680958
Kepler-414,b,,,297.961566,48.244362
Kepler-414,c,,,297.961566,48.244362
Kepler-1574,b,,,292.158664,49.637760
Kepler-1575,b,,,293.743250,45.761597
Kepler-1576,b,,,289.073975,40.366015
Kepler-1577,b,,,292.955275,47.573105
Kepler-1578,b,,,288.302000,47.775555
Kepler-1579,b,,,293.288009,43.514988
Kepler-1580,b,,,285.968722,41.363559
Kepler-1581,b,,,287.371261,39.603581
Kepler-1582,b,,,289.376650,41.158613
Kepler-1583,b,,,286.386934,47.016628
Kepler-1584,b,,,287.762683,43.274429
Kepler-1585,b,,,296.159005,44.563114
Kepler-1586,b,,,298.202609,44.925827
Kepler-1587,b,,,292.677726,49.663910
Kepler-1588,b,,,288.232715,48.002178
Kepler-1589,b,,,294.441792,40.571686
Kepler-1590,b,,,291.407812,48.017891
Kepler-1591,b,,,296.516659,44.608608
Kepler-1592,b,,,293.850646,38.397749
Kepler-1593,b,,,300.488180,44.460670
Kepler-1594,b,,,293.623090,47.961914
Kepler-1595,b,,,285.722721,43.009480
Kepler-1596,b,,,285.557511,49.330074
Kepler-1597,b,,,288.163973,42.481083
Kepler-1598,b,,,288.469102,46.783680
Kepler-1599,b,,,286.220889,41.151251
Kepler-1600,b,,,291.399384,38.787752
Kepler-1601,b,,,285.512943,38.079748
Kepler-1602,b,,,293.580858,40.427478
Kepler-1603,b,,,295.329843,42.534966
Kepler-1604,b,,,285.410633,44.412212
Kepler-416,c,,,291.556965,39.227287
Kepler-418,b,,,294.433512,38.355450
Kepler-419,c,,,295.417899,51.184765
Kepler-422,b,,,282.629656,46.323357
Kepler-424,c,,,298.624890,48.577454
Kepler-428,b,,,290.581722,40.577400
Kepler-43,b,,,285.240856,46.668255
Kepler-431,c,,,281.112335,43.227789
Kepler-434,b,,,293.586381,42.928913
Kepler-436,b,,,301.720753,44.412063
Kepler-439,b,,,280.801566,44.033994
Kepler-442,b,,,285.366589,39.280081
Kepler-444,d,,HIP 94931,289.752289,41.634605
Kepler-446,b,,,282.250207,44.921102
Kepler-46,c,,,289.268744,42.604176
Kepler-48,b,,,299.139212,40.949020
Kepler-49,c,,,292.294579,40.591801
Kepler-50,c,,,288.100873,50.033718
Kepler-52,b,,,286.738033,49.975750
Kepler-53,c,,,290.461775,40.562462
Kepler-55,b,,,285.168338,44.026466
Kepler-55,f,,,285.168338,44.026466
Kepler-57,c,,,293.641285,44.657040
Kepler-59,c,,,287.039503,46.640129
Kepler-61,b,,,295.304508,42.475290
Kepler-62,e,,,283.212747,45.349865
Kepler-415,c,,,293.804434,38.639131
Kepler-416,b,,,291.556965,39.227287
Kepler-417,b,,,293.824314,42.779705
Kepler-417,c,,,293.824314,42.779705
Kepler-419,b,,,295.417899,51.184765
Kepler-420,b,,,291.225180,44.927383
Kepler-421,b,,,283.256822,45.087776
Kepler-423,b,,,292.855742,46.391178
Kepler-424,b,,,298.624890,48.577454
Kepler-425,b,,,290.358009,40.567738
Kepler-426,b,,,289.434628,49.473400
Kepler-427,b,,,288.254580,43.704868
KIC 10001893,b,,,287.389188,46.984489
KIC 10001893,d,,,287.389188,46.984489
Kepler-430,b,,,292.808636,49.579445
Kepler-431,b,,,281.112335,43.227789
Kepler-431,d,,,281.112335,43.227789
Kepler-432,b,,,293.282206,48.285900
Kepler-433,b,,,297.593651,40.977268
Kepler-435,b,,,292.287328,43.197281
Kepler-437,b,,,297.347393,44.026947
Kepler-438,b,,,281.645806,41.951092
Kepler-440,b,,,285.349952,41.452206
Kepler-441,b,,,284.566904,49.012546
Kepler-443,b,,,288.610544,49.968632
Kepler-444,b,,HIP 94931,289.752289,41.634605
Kepler-444,c,,HIP 94931,289.752289,41.634605
Kepler-444,f,,HIP 94931,289.752289,41.634605
Kepler-1605,b,,,287.134895,47.488621
Kepler-1606,b,,,286.378264,43.073250
Kepler-1607,b,,,296.059869,42.656051
Kepler-1608,b,,,295.563558,39.417606
Kepler-1609,b,,,290.146555,39.665821
Kepler-1610,b,,,295.905010,45.405434
Kepler-1611,b,,,296.512049,49.727764
Kepler-1612,b,,,291.250279,45.655075
Kepler-1613,b,,,289.875041,43.420963
Kepler-1614,b,,,284.871334,49.775913
Kepler-1615,b,,,286.359226,42.227478
Kepler-1616,b,,,286.543637,45.304874
Kepler-1617,b,,,287.937219,46.418491
Kepler-1618,b,,,295.175391,45.930908
Kepler-1619,b,,,285.703472,44.422001
Kepler-1620,b,,,297.270876,46.928417
Kepler-1621,b,,,297.588518,43.841221
Kepler-1622,b,,,297.328910,47.815472
Kepler-1623,b,,,294.082695,39.556103
Kepler-1624,b,,,292.579860,37.376411
Kepler-1625,b,,,295.429347,39.886547
Kepler-1626,b,,,296.500445,40.721230
Kepler-1627,b,,,284.056684,41.576733
Kepler-1628,b,,,281.633700,43.411579
Kepler-1629,b,,,280.206621,43.774297
Kepler-1630,b,,,297.508294,43.710953
Kepler-1631,b,,,294.632570,43.807671
Kepler-1632,b,,,294.494859,43.913620
Kepler-1633,b,,,288.515202,44.923225
Kepler-1634,b,,,294.043409,45.139786
Kepler-1635,b,,,285.348993,45.556183
Kepler-65,c,,,288.688700,41.151173
Kepler-66,b,,,293.981569,46.687748
Kepler-68,d,,,291.032305,49.040272
Kepler-77,b,,,289.607956,44.345425
Kepler-79,d,,,300.517131,44.381580
Kepler-8,b,,,281.288118,42.451080
Kepler-80,e,,,296.112564,39.978779
Kepler-82,b,,,292.873390,42.966137
Kepler-83,b,,,282.232525,43.665627
Kepler-84,c,,,298.252049,40.496077
Kepler-85,b,,,290.973429,45.290318
Kepler-87,b,,,297.916877,46.965130
Kepler-92,c,,,289.086058,41.562941
Kepler-94,c,,,281.194747,47.497148
Kepler-97,b,,,287.326624,48.673431
Kepler-98,b,,,285.661662,37.964506
MOA 2007-BLG-192L,b,,,272.015825,-27.150075
MOA 2009-BLG-387L,b,,,268.461625,-33.990333
MOA-bin-1L,b,,,261.792500,-29.793972
NGC 2682 YBP 1514,b,,,132.753193,11.886530
NN Ser,d,,,238.233879,12.912411
OGLE 2005-BLG-390L,b,,,268.579958,-30.377306
OGLE 2007-BLG-368L,b,,,269.108167,-32.237417
OGLE 2011-BLG-265L,b,,,269.448833,-27.394528
OGLE 2012-BLG-358L,b,,,265.694875,-24.261000
OGLE 2013-BLG-341L B,b,,,268.031208,-29.846111
Kepler-445,b,,,298.736067,46.498552
Kepler-445,d,,,298.736067,46.498552
Kepler-446,d,,,282.250207,44.921102
Kepler-447,b,,,285.268586,48.560013
KOI-12,b,,,297.453731,41.010991
Lupus-TR-3,b,,,232.577571,-42.979908
MOA 2007-BLG-400L,b,,,272.424917,-29.224153
MOA 2008-BLG-310L,b,,,268.560542,-34.778053
MOA 2008-BLG-379L,b,,,269.706000,-30.196931
MOA 2009-BLG-266L,b,,,267.008125,-35.005411
MOA 2009-BLG-319L,b,,,271.742208,-26.819692
MOA 2010-BLG-477L,b,,,271.531006,-31.454477
MOA 2010-BLG-073L,b,,,272.547258,-26.522932
MOA 2011-BLG-293L,b,,,268.913958,-28.476847
MOA 2011-BLG-322L,b,,,271.223333,-27.220944
NGC 2682 YBP 1194,b,,,132.753364,11.814655
NGC 2682 Sand 364,b,,,132.486760,11.692484
NGC 4349 127,b,,,186.147811,-61.820004
OGLE 2003-BLG-235L,b,,,271.318125,-28.895000
OGLE 2005-BLG-71L,b,,,267.540708,-34.673194
OGLE 2005-BLG-169L,b,,,271.522167,-30.732639
OGLE 2006-BLG-109L,b,,,268.143792,-30.087778
OGLE 2006-BLG-109L,c,,,268.143792,-30.087778
OGLE 2008-BLG-92L,b,,,266.872583,-34.726556
OGLE 2008-BLG-355L,b,,,269.786708,-30.759472
OGLE 2011-BLG-251L,b,,,264.559083,-27.136139
Kepler-1636,b,,,294.057625,46.441031
Kepler-1637,b,,,282.236848,48.154297
Kepler-1638,b,,,295.482407,48.524445
Kepler-1639,b,,,283.068632,48.802086
Kepler-1640,b,,,294.557890,40.850498
Kepler-1641,b,,,296.359440,41.574532
Kepler-1641,c,,,296.359440,41.574532
Kepler-1642,b,,,297.212160,43.643719
Kepler-1642,c,,,297.212160,43.643719
Kepler-1643,b,,,300.431000,44.751011
Kepler-1644,b,,,285.475055,48.034935
Kepler-1645,b,,,297.479473,48.418571
Kepler-1646,b,,,287.526422,42.912908
Kepler-539,c,,,299.122454,41.866760
HD 191806,b,HD 191806,HIP 99306,302.367950,52.276329
HD 214823,b,HD 214823,HIP 111928,340.082794,31.787594
HD 221585,b,HD 221585,HIP 116221,353.225189,63.155483
Kepler-1647,b,,,298.150086,40.656175
MOA 2013-BLG-605L,b,,,269.678542,-29.398239
OGLE-TR-10,b,,,267.867708,-29.876361
OGLE-TR-182,b,,,167.327963,-61.095257
PH1,b,,,298.215108,39.955104
POTS-1,b,,,203.608877,-66.581116
PSR B1257+12,d,,,195.014903,12.682353
Pr0201,b,,,130.432596,20.226891
Qatar-2,b,,,207.655866,-6.804028
UZ For,c,,,53.869338,-25.739395
VHS J125601.92-125723.9,b,,,194.008964,-12.956031
WASP-12,b,,,97.636640,29.672291
WASP-16,b,,,214.683032,-20.275484
WASP-2,b,,,307.725542,6.429536
WASP-24,b,,,227.215586,2.343304
WASP-29,b,,,357.879538,-39.906719
WASP-33,b,HD 15082,HIP 11397,36.712746,37.550484
WASP-37,b,,,221.943987,1.064966
WASP-41,b,,,190.618736,-30.639870
WASP-45,b,,,5.237497,-35.998260
WASP-49,b,,,91.089427,-16.965294
WASP-55,b,,,203.758114,-17.503464
WASP-59,b,,,349.623126,24.889290
WASP-62,b,,,87.139961,-63.988434
WASP-66,b,,,158.224966,-34.989845
WASP-7,b,HD 197286,,311.042609,-39.225273
WASP-73,b,HD 202678,,319.949610,-58.148876
WASP-79,b,,,66.370903,-30.600445
OGLE 2012-BLG-26L,b,,,263.577917,-27.142750
OGLE 2012-BLG-26L,c,,,263.577917,-27.142750
OGLE 2012-BLG-406L,b,,,268.325708,-30.471167
OGLE 2013-BLG-102L,b,,,268.029500,-31.690583
OGLE 2014-BLG-124L,b,,,270.621708,-28.396250
OGLE2-TR-L9,b,,,166.979921,-61.146263
OGLE-TR-056,b,,,269.147958,-29.539222
OGLE-TR-111,b,,,163.324625,-61.405639
OGLE-TR-113,b,,,163.101667,-61.446806
OGLE-TR-132,b,,,162.644667,-61.957194
OGLE-TR-211,b,,,160.059951,-62.455601
Oph 11,b,,,245.605058,-24.087208
Pr0211,b,,,130.547882,19.277044
PSR B1257+12,b,,,195.014903,12.682353
PSR B1257+12,c,,,195.014903,12.682353
PSR B1620-26,b,,,245.909262,-26.531594
PSR J1719-1438,b,,,259.791971,-14.633600
Qatar-1,b,,,303.381672,65.162041
ROXs 42 B,b,,,247.812567,-24.545471
ROXs 12,b,,,246.615609,-25.456865
SR 12 AB,c,,,246.831300,-24.694553
SWEEPS-4,b,,,269.724667,-29.189056
SWEEPS-11,b,,,269.758333,-29.198194
TrES-1,b,,,286.041062,36.632629
TrES-3,b,,,268.029265,37.546154
TrES-4,b,,,268.304354,37.211849
TrES-5,b,,,305.221841,59.448788
WASP-82,b,,,72.660671,1.893921
WASP-94 A,b,,,313.783098,-34.135555
WASP-97,b,,,24.604338,-55.772083
WTS-2,b,,,293.732796,36.815491
XO-4,b,,,110.388223,58.268108
Kepler-237,c,,,283.221387,40.421834
Kepler-238,b,,,287.897113,40.637815
Kepler-238,c,,,287.897113,40.637815
Kepler-238,d,,,287.897113,40.637815
Kepler-238,e,,,287.897113,40.637815
Kepler-238,f,,,287.897113,40.637815
Kepler-239,b,,,294.202137,40.663406
Kepler-239,c,,,294.202137,40.663406
Kepler-240,b,,,291.158774,40.750263
Kepler-240,c,,,291.158774,40.750263
Kepler-241,b,,,292.913118,41.060921
Kepler-241,c,,,292.913118,41.060921
Kepler-242,b,,,286.565695,41.808403
Kepler-243,b,,,285.110470,42.033958
Kepler-243,c,,,285.110470,42.033958
Kepler-244,b,,,287.242680,42.301369
Kepler-244,d,,,287.242680,42.301369
Kepler-245,b,,,291.638965,42.436317
Kepler-245,c,,,291.638965,42.436317
Kepler-245,d,,,291.638965,42.436317
TYC 1422-614-1,b,,,154.277798,19.558472
TYC 1422-614-1,c,,,154.277798,19.558472
USco CTIO 108,b,,,241.475320,-18.312332
V0391 Peg,b,,,331.050440,26.418860
WASP-1,b,,,5.166978,31.989990
WASP-3,b,,,278.631793,35.661533
WASP-4,b,,,353.562841,-42.061428
WASP-5,b,,,359.348991,-41.277149
WASP-6,b,,,348.157246,-22.673937
WASP-8,b,,,359.900292,-35.031391
WASP-8,c,,,359.900292,-35.031391
WASP-10,b,,,348.992912,31.462852
WASP-11,b,,,47.368964,30.673594
WASP-13,b,,,140.102976,33.882439
WASP-14,b,,,218.276477,21.894714
WASP-15,b,,,208.927939,-32.159607
WASP-17,b,,,239.962306,-28.061733
WASP-18,b,HD 10069,HIP 7562,24.354311,-45.677887
WASP-19,b,,,148.417002,-45.659191
WASP-20,b,,,5.160559,-23.935728
WASP-21,b,,,347.492721,18.396086
WASP-22,b,,,52.818043,-23.819702
WASP-23,b,,,101.127587,-42.761826
WASP-25,b,,,195.359879,-27.522200
WASP-26,b,,,4.602897,-15.267305
WASP-28,b,,,353.616152,-1.580064
WASP-31,b,,,169.439021,-19.054773
Kepler-246,c,,,296.483427,42.663429
Kepler-247,b,,,288.642531,43.039291
Kepler-247,c,,,288.642531,43.039291
Kepler-248,b,,,293.061384,43.581356
Kepler-248,c,,,293.061384,43.581356
Kepler-249,b,,,296.985068,43.658524
Kepler-249,d,,,296.985068,43.658524
Kepler-250,b,,,289.594765,44.141953
Kepler-250,c,,,289.594765,44.141953
Kepler-251,b,,,296.566237,44.105865
Kepler-251,c,,,296.566237,44.105865
Kepler-251,d,,,296.566237,44.105865
Kepler-251,e,,,296.566237,44.105865
Kepler-252,c,,,295.579345,44.545963
Kepler-253,b,,,291.841992,44.858089
Kepler-253,c,,,291.841992,44.858089
Kepler-254,b,,,288.164701,45.816504
Kepler-254,c,,,288.164701,45.816504
Kepler-254,d,,,288.164701,45.816504
Kepler-255,c,,,296.064233,45.976841
Kepler-256,b,,,292.580445,46.097389
Kepler-256,c,,,292.580445,46.097389
Kepler-256,d,,,292.580445,46.097389
Kepler-257,b,,,297.315994,46.023269
Kepler-257,c,,,297.315994,46.023269
WASP-32,b,,,3.961682,1.200451
WASP-34,b,,,165.399561,-23.860636
WASP-35,b,,,76.081782,-6.229821
WASP-36,b,,,131.580405,-8.026946
WASP-38,b,HD 146389,,243.959845,10.032566
WASP-39,b,,,217.326702,-3.444534
WASP-42,b,,,192.981545,-42.073608
WASP-43,b,,,154.908372,-9.806276
WASP-44,b,,,3.903165,-11.938115
WASP-46,b,,,318.736981,-55.871780
WASP-47,b,,,331.203047,-12.018885
WASP-48,b,,,291.162330,55.473160
WASP-50,b,,,43.688073,-10.898080
WASP-52,b,,,348.494748,8.761262
WASP-54,b,,,205.454308,-0.128076
WASP-56,b,,,183.366285,23.055698
WASP-57,b,,,223.820104,-2.057665
WASP-58,b,,,274.701064,45.172016
WASP-60,b,,,356.666564,31.155935
WASP-61,b,,,75.299663,-26.054144
WASP-63,b,,,94.336431,-38.323257
WASP-64,b,,,101.115041,-32.858402
WASP-65,b,,,133.324304,8.523038
WASP-67,b,,,295.743840,-19.949596
WASP-68,b,HD 193334,,305.095785,-19.314680
Kepler-257,d,,,297.315994,46.023269
Kepler-258,c,,,294.068490,46.579330
Kepler-259,b,,,288.211929,46.615005
Kepler-259,c,,,288.211929,46.615005
Kepler-260,c,,,291.925972,38.014122
Kepler-261,b,,,291.364773,37.609184
Kepler-261,c,,,291.364773,37.609184
Kepler-262,c,,,290.728675,37.252649
Kepler-263,b,,,292.469762,37.567794
Kepler-263,c,,,292.469762,37.567794
Kepler-264,b,,,292.044615,37.376246
Kepler-265,b,,,290.510478,41.244820
Kepler-265,c,,,290.510478,41.244820
Kepler-265,d,,,290.510478,41.244820
Kepler-266,b,,,294.484378,44.166916
Kepler-266,c,,,294.484378,44.166916
Kepler-267,b,,,299.830387,47.157461
Kepler-267,d,,,299.830387,47.157461
Kepler-268,b,,,291.976175,38.055075
Kepler-268,c,,,291.976175,38.055075
Kepler-269,b,,,290.215171,41.775967
Kepler-270,b,,,282.200100,44.422302
Kepler-270,c,,,282.200100,44.422302
Kepler-271,b,,,283.002980,44.284233
Kepler-271,c,,,283.002980,44.284233
WASP-69,b,,,315.025778,-5.094404
WASP-71,b,,,29.263338,0.758834
WASP-72,b,,,41.039999,-30.169039
WASP-75,b,,,342.385707,-10.675560
WASP-77 A,b,,,37.155115,-7.060681
WASP-78,b,,,63.756240,-22.116434
WASP-80,b,,,303.167407,-2.144208
WASP-84,b,,,131.107099,1.860033
WASP-88,b,,,309.511192,-48.462067
WASP-94 B,b,,,313.788158,-34.135521
WASP-95,b,,,337.457189,-48.003086
WASP-96,b,,,1.046351,-47.360626
WASP-98,b,,,58.428794,-34.328194
WASP-99,b,,,39.897688,-50.008003
WASP-100,b,,,68.959728,-64.027039
WASP-101,b,,,98.351102,-23.486210
WASP-103,b,,,249.314868,7.183352
WASP-104,b,,,160.602432,7.435026
WASP-106,b,,,166.429747,-5.079412
WASP-117,b,,,36.775432,-50.284519
WD 0806-661,b,,,121.723902,-66.304650
WTS-1,b,,,293.993200,36.290325
WISEP J121756.91+162640.2 A,b,,,184.487125,16.444500
XO-1,b,,,240.549350,28.169586
XO-2 N,b,,,117.026968,50.225800
XO-2 S,b,,,117.031174,50.217556
XO-2 S,c,,,117.031174,50.217556
Kepler-272,b,,,299.127524,47.593830
Kepler-272,c,,,299.127524,47.593830
Kepler-272,d,,,299.127524,47.593830
Kepler-273,b,,,291.302209,47.697758
Kepler-273,c,,,291.302209,47.697758
Kepler-274,b,,,292.922774,38.477274
Kepler-274,c,,,292.922774,38.477274
Kepler-275,b,,,292.479713,38.514927
Kepler-275,c,,,292.479713,38.514927
Kepler-275,d,,,292.479713,38.514927
Kepler-276,b,,,293.568150,39.036326
Kepler-276,c,,,293.568150,39.036326
Kepler-277,b,,,286.583175,39.077209
Kepler-277,c,,,286.583175,39.077209
Kepler-278,c,,,290.107193,38.702235
Kepler-279,b,,,287.391224,42.194836
Kepler-279,c,,,287.391224,42.194836
Kepler-280,b,,,291.390510,42.180588
Kepler-280,c,,,291.390510,42.180588
Kepler-281,b,,,294.108191,44.770699
Kepler-282,b,,,284.677277,44.797684
Kepler-282,c,,,284.677277,44.797684
Kepler-282,d,,,284.677277,44.797684
Kepler-283,b,,,293.613726,47.838998
Kepler-283,c,,,293.613726,47.838998
XO-3,b,,,65.469581,57.817181
XO-5,b,,,116.716527,39.094578
HATS-9,b,,,290.810104,-20.166317
HATS-10,b,,,294.306813,-22.204477
Kepler-449,b,,,293.732821,41.900829
Kepler-449,c,,,293.732821,41.900829
Kepler-450,b,,,295.486509,51.013500
Kepler-450,c,,,295.486509,51.013500
Kepler-450,d,,,295.486509,51.013500
Kepler-92,d,,,289.086058,41.562941
HAT-P-55,b,,,264.273447,25.731186
Kepler-452,b,,,296.003688,44.277561
HAT-P-56,b,HD 262389,HIP 32209,100.848038,27.252293
Kepler-432,c,,,293.282206,48.285900
Kepler-444,e,,HIP 94931,289.752289,41.634605
Kepler-445,c,,,298.736067,46.498552
Kepler-446,c,,,282.250207,44.921102
24 Sex,c,HD 90043,HIP 50887,155.868210,-0.902244
2MASS J04414489+2301513,b,,,70.437073,23.030941
30 Ari B,b,HD 16232,HIP 12184,39.240585,24.648064
47 UMa,b,HD 95128,HIP 53721,164.866562,40.430256
51 Peg,b,HD 217014,HIP 113357,344.366577,20.768833
55 Cnc,d,HD 75732,HIP 43587,133.149216,28.330818
6 Lyn,b,HD 45410,HIP 31039,97.696281,58.162632
61 Vir,d,HD 115617,HIP 64924,199.601318,-18.311195
75 Cet,b,HD 15779,HIP 11791,38.039253,-1.034896
AB Pic,b,HD 44627,HIP 30034,94.803802,-58.054310
HD 192310,c,HD 192310,HIP 99825,303.822449,-27.032976
HD 196050,b,HD 196050,HIP 101806,309.465454,-60.634483
HD 197037,b,HD 197037 A,HIP 101948,309.887329,42.248550
HD 19994,b,HD 19994,HIP 14954,48.193485,-1.196101
HD 202206,b,HD 202206,HIP 104903,318.740692,-20.789209
HD 206610,b,HD 206610,HIP 107251,325.853760,-7.408253
HD 20794,c,HD 20794,HIP 15510,49.981876,-43.069782
HD 208527,b,HD 208527,HIP 108296,329.099945,21.239859
HD 210702,b,HD 210702,HIP 109577,332.963867,16.040550
HD 215497,b,HD 215497,HIP 112441,341.653137,-56.599533
HD 216437,b,HD 216437,HIP 113137,343.664520,-70.073708
HD 217107,b,HD 217107,HIP 113421,344.564758,-2.395385
HD 219077,b,HD 219077,HIP 114699,348.527435,-62.700005
HD 219828,b,HD 219828,HIP 115100,349.694733,18.645720
HD 220773,b,HD 220773,HIP 115697,351.614349,8.643845
HD 224693,b,HD 224693,HIP 118319,359.974304,-22.428114
HD 240210,b,HD 240210,,347.621792,57.029456
HD 28185,b,HD 28185,HIP 20723,66.609673,-10.550821
HD 285968,b,HD 285968,HIP 21932,70.732407,18.958172
HD 2952,b,HD 2952,HIP 2611,8.293311,54.894985
HD 30562,b,HD 30562,HIP 22336,72.151604,-5.674045
HD 31253,b,HD 31253,HIP 22826,73.681892,12.352201
HD 33283,b,HD 33283,HIP 23889,77.004219,-26.797472
HD 37124,c,HD 37124,HIP 26381,84.260361,20.730787
HD 37605,c,HD 37605,HIP 26664,85.007210,6.060579
HD 38801,b,HD 38801,HIP 27384,86.996567,-8.327700
Kepler-284,b,,,293.146491,47.729649
Kepler-285,b,,,291.390905,48.065609
Kepler-285,c,,,291.390905,48.065609
Kepler-286,b,,,290.676145,48.294289
Kepler-286,d,,,290.676145,48.294289
Kepler-286,e,,,290.676145,48.294289
Kepler-287,b,,,290.927458,48.443550
Kepler-288,b,,,288.916426,39.594717
Kepler-288,c,,,288.916426,39.594717
Kepler-288,d,,,288.916426,39.594717
Kepler-289,b,,,297.465344,42.882850
Kepler-289,d,,,297.465344,42.882850
Kepler-290,b,,,286.409984,42.681553
Kepler-290,c,,,286.409984,42.681553
Kepler-291,c,,,287.916357,42.437302
Kepler-292,b,,,295.766145,42.424288
Kepler-292,c,,,295.766145,42.424288
Kepler-292,e,,,295.766145,42.424288
Kepler-292,f,,,295.766145,42.424288
Kepler-293,b,,,286.358057,42.406509
Kepler-294,b,,,287.392009,46.059312
Kepler-294,c,,,287.392009,46.059312
Kepler-295,c,,,285.345843,45.367786
Kepler-296,b,,,286.540008,49.437326
Kepler-296,c,,,286.540008,49.437326
BD+20 1790,b,,,110.931612,20.416334
BD+20 2457,c,,,154.186910,19.891409
